codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 10, 2000000, 30,                        60, 2, -3, 101376, 50, 1, 46, 0, 44, 0, 34, 1 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
66666, 34, 14.420809, 38544,    23.358586, 9.939186, 4.278788, 5.645024,  0.000000,  5.960561,  1.745812
67134, 21, 5.621777, 28080,    20.808081, 5.415658, 4.242424, 4.819790,  0.089015,  1.225412,  -1.316809
61868, 18, 2.707829, 57008,    17.474747, 2.449143, 4.234343, 3.085503,  0.013889,  1.081206,  -1.433408
68670, 16, 1.889710, 68912,    16.315657, 1.858550, 4.286869, 2.756185,  0.018308,  1.060771,  -1.455883
68826, 16, 1.864129, 70040,    16.290404, 1.847411, 4.294949, 2.705808,  0.017677,  1.070939,  -1.470130
68988, 16, 1.885879, 70192,    16.285354, 1.845191, 4.210101, 2.723169,  0.022096,  1.074784,  -1.469255
69205, 16, 1.883303, 69904,    16.292929, 1.848522, 4.258586, 2.738982,  0.024621,  1.072434,  -1.465762
69550, 16, 1.863051, 67840,    16.194444, 1.805685, 4.262626, 2.692245,  0.023359,  1.015352,  -1.450520
70297, 16, 1.726819, 68608,    16.303030, 1.852972, 4.266667, 2.709596,  0.027146,  1.043591,  -1.461582
71695, 16, 1.731489, 69600,    16.156566, 1.789475, 4.274747, 2.624063,  0.015152,  1.031561,  -1.467533
